COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 2 (market-based),SCOPE 3,TOTAL EMISSIONS,SCOPE 1 + SCOPE 2 EMISSIONS,TOTAL REVENUE (million $),CURRENCY,"CARBON INTENSITY
(Scope 1 & 2 g CO2e / $ Sales)",COUNTRY OF ORIGIN,SUBMIT TO CDP,GROWTH RATE,COMPANY SIZE
BMW,2017,625072,1572432,510911,71690753,74399168,2197504,98678,EUR,22.27,Germany,Yes,n/a,
BMW,2018,581703,1539378,538622,73093077,75752780,2121081,97480,EUR,21.76,Germany,Yes,-1.21,
BMW,2019,678403,1540667,354095,132520346,135093511,2219070,104210,EUR,21.29,Germany,Yes,6.90,
BMW,2020,678967,1333076,130090,117682832,119824965,2012043,98990,EUR,20.33,Germany,Yes,-5.01,
BMW,2021,699713,1404348,134849,121705367,123944277,2104061,111239,EUR,18.91,Germany,Yes,12.37,
BMW,2022,694057,1187339,91300,116586786,118559482,1881396,142610,EUR,13.19,Germany,Yes,28.20,
BYD,2017,n/a,n/a,n/a,n/a,n/a,3258514,14297,RMB,227.92,China,No,n/a,
BYD,2018,n/a,n/a,n/a,n/a,n/a,2864901,18113,RMB,158.17,China,No,26.70,
BYD,2019,n/a,n/a,n/a,n/a,n/a,4003769,17791,RMB,225.05,China,No,-1.78,
BYD,2020,199406,3945773,n/a,n/a,n/a,4145179,21810,RMB,190.06,China,No,22.59,
BYD,2021,315610,4903502,n/a,n/a,n/a,5219112,30103,RMB,173.38,China,No,38.02,
BYD,2022,550932,7511038,n/a,123025950,131087920,8061970,59061,RMB,136.50,China,No,96.20,
Daimler/Mercedes,2017,1192000,2041000,1763000,82530800,87526800,3233000,164330,EUR,19.67,Germany,Yes,n/a,
Daimler/Mercedes,2018,1247000,1687000,1687000,79300000,83921000,2934000,184000,EUR,15.95,Germany,Yes,11.97,
Daimler/Mercedes,2019,1239000,1706000,1276000,144408800,148629800,2945000,189875,EUR,15.51,Germany,Yes,3.19,
Daimler/Mercedes,2020,1027000,1492000,1035000,102237000,105791000,2519000,169611,EUR,14.85,Germany,Yes,-10.67,
Daimler/Mercedes,2021,681000,1123000,470000,123158000,125432000,1804000,147170,EUR,12.26,Germany,n/a,-13.23,
