COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 3,TOTAL EMISSIONS,SCOPE 1 + SCOPE 2 EMISSIONS,TOTAL REVENUE (miillion $),CURRENCY,"CARBON INTENSITY
(Scope 1 & 2 g CO2e / $ Sales)",COUNTRY OF ORIGIN,SUBMIT TO CDP
BMW,2017,625072,1572432,71690753,73888257,2197504,98678,EUR,22.27,Germany,Yes
BMW,2018,581703,1539378,73093077,75214158,2121081,97480,EUR,21.76,Germany,Yes
BMW,2019,678403,1540667,132520346,134739416,2219070,104210,EUR,21.29,Germany,Yes
BMW,2020,678967,1333076,117682832,119694875,2012043,98990,EUR,20.33,Germany,Yes
BMW,2021,699713,1404348,121705367,123809428,2104061,111239,EUR,18.91,Germany,Yes
BMW,2022,694057,1187339,116586786,118468182,1881396,142610,EUR,13.19,Germany,Yes
BYD,2017,n/a,n/a,n/a,n/a,3258514,14297,RMB,227.92,China,No
BYD,2018,n/a,n/a,n/a,n/a,2864901,18113,RMB,158.17,China,No
BYD,2019,n/a,n/a,n/a,n/a,4003769,17791,RMB,225.05,China,No
BYD,2020,199406,3945773,n/a,n/a,4145179,21810,RMB,190.06,China,No
BYD,2021,315610,4903502,n/a,n/a,5219112,30103,RMB,173.38,China,No
BYD,2022,550932,7511038,123025950,131087920,8061970,59061,RMB,136.50,China,No
Daimler/Mercedes,2017,1192000,2041000,82530800,85763800,3233000,164330,EUR,19.67,Germany,Yes
Daimler/Mercedes,2018,1247000,1687000,79300000,82234000,2934000,184000,EUR,15.95,Germany,Yes
Daimler/Mercedes,2019,1239000,1706000,144408800,147353800,2945000,189875,EUR,15.51,Germany,Yes
Daimler/Mercedes,2020,1027000,1492000,102237000,104756000,2519000,169611,EUR,14.85,Germany,Yes
Daimler/Mercedes,2021,681000,1123000,123158000,124962000,1804000,147170,EUR,12.26,Germany,n/a
Daimler/Mercedes,2022,569000,1121000,123025950,124715950,1690000,150017,EUR,11.27,Germany,n/a
Fiat-Chrysler,2017,1101289,3309598,124729588,129140475,4410887,122066,EUR,36.14,"Italy, United States",n/a
Fiat-Chrysler,2018,1129268,2795995,115993925,119919188,3925263,121491,EUR,32.31,"Italy, United States",n/a
Fiat-Chrysler,2019,1058367,2296709,122750694,126105770,3355076,119043,EUR,28.18,"Italy, United States",n/a
Fiat-Chrysler,2020,877603,1983910,n/a,n/a,2861513,95244,EUR,30.04,"Italy, United States",n/a
Fiat-Chrysler,2021,1700000,2200000,523305000,527205000,3900000,164189,EUR,23.75,"Italy, United States",n/a
Fiat-Chrysler,2022,1500000,1900000,447230000,450630000,3400000,197345,EUR,17.23,"Italy, United States",n/a
Ford,2017,1391127,3482444,211807837,216681408,4873571,145700,USD,33.45,United States,Yes
Ford,2018,1442963,3349808,174463469,179256240,4792771,160300,USD,29.90,United States,Yes
Ford,2019,1451947,3195704,187993867,192641518,4647651,155900,USD,29.81,United States,Yes
Ford,2020,1124798,2715328,349281992,353122118,3840126,127144,USD,30.20,United States,Yes
Ford,2021,1069907,2616003,299853676,303539586,3685910,136300,USD,27.04,United States,Yes
Ford,2022,1197739,2557313,370223094,373978146,3755052,158100,USD,23.75,United States,Yes
Geely,2017,126934,346173,n/a,n/a,473107,12973,RMB,36.47,China,No
Geely,2018,138921,425622,n/a,n/a,564543,14908,RMB,37.87,China,No
Geely,2019,141100,418180,n/a,n/a,559280,13622,RMB,41.06,China,No
Geely,2020,166395,518514,34097000,34781908,684908,12883,RMB,53.16,China,No
Geely,2021,263159,867943,102344820,103475922,1131102,14211,RMB,79.59,China,No
Geely,2022,249291,655705,101818690,102723686,904996,20694,RMB,43.73,China,No
General Motors,2017,1848804,4572734,280849954,287271492,6421538,145588,USD,44.11,United States,Yes
General Motors,2018,1763555,4322761,264495398,270581714,6086316,147049,USD,41.39,United States,Yes
General Motors,2019,1589700,4381970,249313396,255285066,5971670,137237,USD,43.51,United States,Yes
General Motors,2020,1214124,3087816,254440148,258742088,4301940,108669,USD,39.59,United States,Yes
General Motors,2021,1252906,2881767,233167875,237302548,4134673,113584,USD,36.40,United States,Yes
General Motors,2022,1466452,2996074,272722605,277185131,4462526,143974,USD,31.00,United States,Yes
Honda,2017,1350000,3790000,314067700,319207700,5140000,15400000,JPY,0.33,Japan,Yes
Honda,2018,1380000,3690000,310718300,315788300,5070000,15900000,JPY,0.32,Japan,Yes
Honda,2019,1240000,3440000,297816499,302496499,4680000,14900000,JPY,0.31,Japan,Yes
Honda,2020,1120000,3050000,244758486,248928486,4170000,13170000,JPY,0.32,Japan,Yes
Honda,2021,1160244,3245113,275724920,280130277,4405357,14552600,JPY,0.30,Japan,Yes
Honda,2022,1090000,3249764,284409746,288749510,4339764,16907700,JPY,0.26,Japan,Yes
Hyundai,2017,852547,1882674,7051724,9786945,2735221,75716,KRW,36.12,South Korea,No
Hyundai,2018,874997,1936902,5582405,8394304,2811899,75807,KRW,37.09,South Korea,No
Hyundai,2019,807498,1897855,120382017,123087370,2705353,82802,KRW,32.67,South Korea,No
Hyundai,2020,716237,1680079,100536484,102932800,2396316,81433,KRW,29.43,South Korea,No
Hyundai,2021,723966,1660238,101790793,104174997,2384204,92092,KRW,25.89,South Korea,No
Toyota,2017,2604655,5265425,401742000,409612080,7870080,196433,JPY,40.07,Japan,Yes
Toyota,2018,2554577,5238108,412184600,419977285,7792685,209119,JPY,37.26,Japan,Yes
Toyota,2019,1904119,4244743,397940000,404088862,6148862,215142,JPY,28.58,Japan,Yes
Toyota,2020,1642074,3684721,341344044,346670839,5326795,213037,JPY,25.00,Japan,Yes
Toyota,2021,2560000,3900000,373340317,379800317,6460000,193709,JPY,33.35,Japan,Yes
Toyota,2022,2370000,3810000,573825072,580005072,6180000,223355,JPY,27.67,Japan,Yes
Tesla,2017,n/a,n/a,n/a,n/a,282000,11759,USD,23.98,United States,No
Tesla,2018,n/a,n/a,n/a,n/a,n/a,21461,USD,n/a,United States,No
Tesla,2019,n/a,n/a,n/a,n/a,n/a,24578,USD,n/a,United States,No
Tesla,2020,n/a,n/a,n/a,n/a,n/a,31536,USD,n/a,United States,No
Tesla,2021,185000,403000,1954000,2542000,588000,53823,USD,10.92,United States,No
Tesla,2022,202000,408000,30100000,30710000,610000,81462,USD,7.49,United States,No
Volkswagen,2017,4297748,5901889,340767244,350966881,10199637,216479,EUR,47.12,Germany,Yes
Volkswagen,2018,4068261,6370514,427972277,438411052,10438775,259237,EUR,40.27,Germany,Yes
Volkswagen,2019,4494068,5973894,447225434,457693396,10467962,277684,EUR,37.70,Germany,Yes
Volkswagen,2020,4335495,5257618,368258661,377851774,9593113,244986,EUR,39.16,Germany,Yes
Volkswagen,2021,4740873,5195961,364179966,374116800,9936834,250200,EUR,39.72,Germany,Yes
Volkswagen,2022,4461403,4650011,395681718,404793132,9111414,279232,EUR,32.63,Germany,Yes
