Company Name,Sector,Net Zero By X,RE100 By X,SBTI Committed,SBTI Targets,Pledge to Adopt Low-Carbon Tech,Pledge to Invest in Low-Carbon,Supply Chain Pledge to Report,Supply Chain Pledge to Reduce
Alphabet,Tech,4,5,1,1,n/a,1,n/a,n/a
Amazon,Tech,3,4,1,0,1,1,n/a,1
Anheuser-Busch InBev,Food,3,0,1,4,n/a,1,n/a,0
Apple,Tech,4,5,1,2,n/a,1,1,1
BMW,Auto,2,5,1,4,n/a,1,n/a,n/a
BP,Energy,2,0,0,0,n/a,n/a,n/a,n/a
BYD,Auto,1,0,0,0,1,0,n/a,n/a
Chevron,Energy,1,0,0,0,n/a,1,0,0
Daimler/Mercedes,Auto,0,2.7,1,2,1,1,1,1
Danone,Food,2,2.5,1,2,n/a,n/a,n/a,n/a
Diageo,Food,3.5,3,1,3,n/a,n/a,n/a,n/a
EDF,Energy,2,2.5,1,3,1,n/a,n/a,n/a
Enel,Energy,3,4,1,5,1,1,n/a,n/a
Equinor,Energy,2,0,0,0,N/a,1,n/a,n/a
Exxon,Energy,1.5,0,0,0,n/a,1,n/a,n/a
Fiat-Chrysler/Stellantis,Auto,3,0,0,0,1,1,1,0
Ford,Auto,2,2.5,,4,1,1,n/a,n/a
Gazprom,Energy,2,0,0,0,n/a,n/a,n/a,n/a
Geely,Auto,2.5,0,1,3,1,n/a,n/a,n/a
General Motors,Auto,2.5,0,1,4,n/a,n/a,n/a,n/a
Honda,Auto,2,0,1,0,n/a,n/a,n/a,n/a
Hyundai,Auto,2.5,0,1,2,n/a,n/a,n/a,n/a
Kellogg’s,Food,0.50,1,1,4,n/a,1,n/a,n/a
Meta,Tech,4,5,0,0,n/a,1,1,1
Microsoft,Tech,5,5,1,4,n/a,1,1,1
Molson Coors,Food,2,0,1,4,n/a,1,n/a,n/a
Nestlé,Food,2,4,1,5,,1,,
Orsted,Energy,1.5,n/a,1,5,1,1,1,1
Oxy,Energy,2,0,0,0,n/a,1,n/a,n/a
PepsiCo,Food,3,2.5,1,4,1,1,1,n/a
PetroChina,Energy,1,0,0,0,1,n/a,n/a,n/a
Rosneft,Energy,2,0,0,0,n/a,n/a,n/a,n/a
Samsung,Tech,2,1,0,0,1,0,n/a,n/a
Saudi Aramco,Energy,1.5,0,0,0,1,1,n/a,n/a
Shell,Energy,2,0,0,0,1,1,n/a,n/a
Tesco,Food,2,5,0,0,1,1,1,n/a
Tesla,Auto,0,0,1,1,n/a,n/a,n/a,n/a
Toyota,Auto,2,0,1,2,n/a,n/a,n/a,n/a
TSMC,Tech,2,1,0,0,n/a,n/a,n/a,n/a
Unilever,Food,3.7,5,1,4,1,1,n/a,n/a
Volkswagen,Auto,2,0,1,2,n/a,n/a,n/a,n/a
