COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 2 (market-based),SCOPE 3,TOTAL EMISSIONS,TOTAL REVENUE (million $),CURRENCY,"CARBON INTENSITY
(Scope 1 & 2 g CO2e / $ Sales)",COUNTRY OF ORIGIN,SUBMIT TO CDP,GROWTH RATE,COMPANY SIZE
BP,2018,48800000,5400000,5400000,437000000,496600000,303738,USD,178.44,United Kingdom,No,n/a,
BP,2019,49200000,5200000,5200000,n/a,59600000,282616,USD,192.49,United Kingdom,No,-6.95,
BP,2020,41700000,3700000,3800000,327600000,376800000,109078,USD,416.22,United Kingdom,Yes,-61.40,
BP,2021,33200000,2400000,2400000,303600000,341600000,164195,USD,216.82,United Kingdom,Yes,50.53,
BP,2022,30400000,2100000,1500000,306700000,340700000,248891,USD,130.58,United Kingdom,Yes,51.58,
Chevron,2018,66000000,3000000,3000000,1023000000,1095000000,158902,USD,434.23,United States,No,n/a,
Chevron,2019,62000000,2000000,2000000,1033000000,1099000000,139865,USD,457.58,United States,No,-11.98,
Chevron,2020,54000000,4000000,4000000,980000000,1042000000,94471,USD,613.95,United States,No,-32.46,
Chevron,2021,57000000,4000000,4000000,1071000000,1136000000,155606,USD,392.02,United States,No,64.71,
Chevron,2022,53000000,4000000,4000000,1034000000,1095000000,235717,USD,241.82,United States,No,51.48,
EDF,2018,35699738,470025,582936,110759561,147512260,75794,EUR,477.21,France,Yes,n/a,
EDF,2019,33090244,289243,387540,119363628,153130655,78367,EUR,425.94,France,Yes,3.39,
EDF,2020,27690997,320773,342889,106649250,135003909,75855,EUR,369.28,France,Yes,-3.21,
EDF,2021,27381075,288947,332773,101804919,129807714,92810,EUR,298.14,France,Yes,22.35,
EDF,2022,23817090,388819,409050,95917659,120532618,143476,EUR,168.71,France,Yes,54.59,
Enel,2018,6816597,115000,765570,5261003,12958170,13184,USD,525.76,Italy,No,n/a,
Enel,2019,6963813,770163,770163,5819007,14323146,14314,USD,540.31,Italy,No,8.57,
Enel,2020,6895903,548948, n/a,5315425,12760276,12193,USD,610.58,Italy,Yes,-14.82,
Enel,2021,7276000,721000,n/a,6000610,13997610,16192,USD,493.89,Italy,Yes,32.80,
Enel,2022,6560000,1010000,n/a,9504170,17074170,16265,USD,465.42,Italy,Yes,0.45,
Equinor,2018,14946447,194063,3002318,314102157,332244985,79593,USD,190.22,Norway,Yes,n/a,
Equinor,2019,14719266,215474,2911766,258995398,276841904,64357,USD,232.06,Norway,Yes,-19.14,
Equinor,2020,13294578,251513,2463566,271036800,287046457,45818,USD,295.65,Norway,Yes,-28.81,
Equinor,2021,12009607,97048,2690162,268747731,283544548,90924,USD,133.15,Norway,Yes,98.45,
Equinor,2022,11365833,68581,2479939,268367000,282281353,150806,USD,75.82,Norway,Yes,65.86,
Exxon,2018,104000000,9000000,9000000,n/a,122000000,290212,USD,389.37,United States,No,n/a,
Exxon,2019,106000000,9000000,9000000,n/a,124000000,264938,USD,434.06,United States,No,-8.71,
Exxon,2020,100000000,9000000,9000000,n/a,118000000,181502,USD,600.54,United States,No,-31.49,
Exxon,2021,95000000,7000000,7000000,n/a,109000000,285640,USD,357.09,United States,No,57.38,
Exxon,2022,96000000,7000000,7000000,530000000,640000000,413680,USD,248.98,United States,No,44.83,
Gazprom,2018,120089856,8198070,n/a,n/a,128287926,4303671,RUB,n/a,Russsia,Yes,n/a,
Gazprom,2019,117097372,6077827,n/a,1154544765,1277719964,3311117,RUB,n/a,Russsia,Yes,-23.06,
Gazprom,2020,100970512,4762910,n/a,1078493075,1184226497,3049339,RUB,n/a,Russsia,Yes,-7.91,
Gazprom,2021,11987000,6080000,n/a,1150750000,1168817000,n/a,RUB,n/a,Russsia,No,n/a,
Gazprom,2022,91000000,4020000,n/a,n/a,95020000,n/a,RUB,n/a,Russsia,No,n/a,
Orsted,2018,3483000,151000,46000,36234400,39914400,76946,DKK,47.23,Denmark,Yes,n/a,
Orsted,2019,1846000,123000,4000,33864140,35837140,67842,DKK,29.02,Denmark,Yes,-11.83,
Orsted,2020,1851000,111000,1790,25333000,27296790,52601,DKK,37.30,Denmark,Yes,-22.47,
Orsted,2021,2142000,53000,802,18179000,20374802,77673,DKK,28.26,Denmark,Yes,47.66,
Orsted,2022,2510000,45000,970,10984000,13539970,132227,DKK,19.32,Denmark,Yes,70.24,
Oxy,2018,10370000,4100000,n/a,71000000,85470000,17824,USD,811.83,United States,Yes,n/a,
Oxy,2019,21618709,5905273,n/a,259100000,286623982,20911,USD,1316.24,United States,Yes,17.32,
Oxy,2020,19015138,4807697,n/a,225900000,249722835,17809,USD,1337.69,United States,Yes,-14.83,
Oxy,2021,18495103,4844808,n/a,211800000,235139911,25956,USD,899.21,United States,Yes,45.75,
Oxy,2022,18454662,4903258,n/a,217000000,240357920,36634,USD,637.60,United States,Yes,41.14,
PetroChina,2018,n/a,n/a,n/a,n/a,n/a,n/a,RMB,n/a,China,Yes,n/a,
PetroChina,2019,132170000,41910000,n/a,n/a,174080000,17380,RMB,10016.11,China,Yes,n/a,
PetroChina,2020,127570000,39870000,n/a,n/a,167440000,11032,RMB,15177.66,China,No,-36.52,
PetroChina,2021,121390000,38150000,n/a,n/a,159540000,18642,RMB,8558.09,China,No,68.98,
PetroChina,2022,119680000,40880000,n/a,n/a,160560000,25702,RMB,6246.98,China,No,37.87,
Rosneft,2018,54700000,22200000,22200000,244300000,n/a,n/a,RUB,n/a,Russsia,Yes,n/a,
Rosneft,2019,59400000,21800000,21800000,301000000,n/a,n/a,RUB,n/a,Russsia,Yes,n/a,
Rosneft,2020,60900000,20100000,20100000,280000000,n/a,n/a,RUB,n/a,Russsia,Yes,n/a,
Rosneft,2021,54200000,18500000,18500000,n/a,n/a,n/a,RUB,n/a,Russsia,No,n/a,
Rosneft,2022,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Saudi Aramco,2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Saudi Arabia,No,n/a,
Saudi Aramco,2019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Saudi Arabia,No,n/a,
Saudi Aramco,2020,50200000,18100000,n/a,n/a,68300000,n/a,n/a,n/a,Saudi Arabia,No,n/a,
Saudi Aramco,2021,52300000,15500000,n/a,n/a,67800000,n/a,n/a,n/a,Saudi Arabia,No,n/a,
Saudi Aramco,2022,55780000,16100000,10300000,n/a,71880000,n/a,n/a,n/a,Saudi Arabia,No,n/a,
Shell,2018,71000000,11000000,11000000,696770000,789770000,396556,USD,206.78,"United Kingdom, Netherlands",Yes,n/a,
Shell,2019,70000000,11000000,10000000,693200000,784200000,352106,USD,230.04,"United Kingdom, Netherlands",Yes,-11.21,
Shell,2020,63000000,11000000,9000000,1343550000,1426550000,183195,USD,403.94,"United Kingdom, Netherlands",Yes,-47.97,
Shell,2021,60000000,9000000,8000000,1344423000,1421423000,272657,USD,253.07,"United Kingdom, Netherlands",Yes,48.83,
