COMPANY NAME,SECTOR,PERCENT CHANGE,SCOPE 1 PERCENT CHANGE,SCOPE 2 PERCENT CHANGE,SCOPE 3 PERCENT CHANGE,CI PERCENT CHANGE
Alphabet,Tech,1.31,43.57,264.23,-41.09,-10.71
Amazon,Tech,71.12,169.10,-38.59,58.39,22.37
Apple,Tech,-13.78,-3.90,-65.43,-18.03,1040.66
Meta,Tech,453.80,59.37,-99.91,1198.50,48.86
Microsoft,Tech,21.61,53.67,57.11,5.77,17.41
Samsung,Tech,187.77,23.01,3.98,226.19,-5.83
TSMC,Tech,50.97,-5.03,50.24,72.15,-35.58
Anheuser-Busch InBev,Food,-4.94,-23.15,-14.86,-1.21,-24.30
Danone,Food,-11.75,-11.61,-20.50,-10.12,-25.67
Diageo,Food,82.29,-21.20,-12.00,114.74,-36.20
Kellogg's,Food,-43.17,2.93,-14.95,-46.84,-18.03
Molson Coors,Food,-25.14,38.23,-48.78,-24.35,-10.83
Nestlé,Food,-1.98,-1.49,-75.35,1.64,-38.93
PepsiCo,Food,-6.76,-2.68,12.54,-6.34,-23.59
Tesco,Food,25.14,-6.99,-42.20,26.86,-25.73
Unilever,Food,-7.08,-33.06,-14.38,-6.58,-32.80
BP,Energy,-31.39,-37.70,-61.11,-29.82,-26.82
Chevron,Energy,0.00,-19.70,33.33,1.08,-44.31
EDF,Energy,-18.29,-33.28,-17.28,-13.40,-64.65
Enel,Energy,31.76,-3.76,778.26,80.65,-11.48
Equinor,Energy,-15.04,-23.96,-64.66,-14.56,-60.14
Exxon,Energy,424.59,-7.69,-22.22,n/a,-36.05
Gazprom,Energy,-25.93,-24.22,-50.96,-0.33,n/a
Orsted,Energy,-66.08,-27.94,-70.20,-69.69,-59.09
Oxy,Energy,181.22,77.96,19.59,205.63,-21.46
PetroChina,Energy,-7.77,-9.45,-2.46,n/a,-37.63
Rosneft,Energy,n/a,-0.91,-16.67,14.61,n/a
Saudi Aramco,Energy,6.02,11.12,-11.05,n/a,n/a
Shell,Energy,60.84,-28.17,-27.27,72.84,-26.12
BMW,Auto,56.51,19.31,-22.87,59.50,-39.37
BYD,Auto,n/a,176.29,90.36,n/a,-13.70
Daimler/Mercedes,Auto,48.72,-54.37,-33.55,55.14,-29.35
Fiat-Chrysler,Auto,269.75,32.83,-32.05,285.56,-46.68
Ford,Auto,105.94,-16.99,-23.66,112.21,-20.57
Geely,Auto,195.34,79.45,54.06,198.61,15.49
General Motors,Auto,1.59,-16.85,-30.69,3.11,-25.11
Honda,Auto,-8.88,-21.01,-11.93,-8.47,-19.50
Hyundai,Auto,1190.75,-19.46,-4.29,1795.08,-30.20
Tesla,Auto,3.74,9.19,1.24,1440.43,-31.46
Toyota,Auto,38.79,-7.23,-27.26,39.22,-25.75
Volkswagen,Auto,-8.09,9.66,-27.01,-7.55,-18.97
