COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 2 (market-based),SCOPE 3,TOTAL EMISSIONS,TOTAL REVENUE (million $),CURRENCY,CARBON INTENSITY,COUNTRY OF ORIGIN,SUBMIT TO CDP,GROWTH RATE,SECTOR,REVENUE IN USD,Adjusted CI
Anheuser-Busch InBev,2018,3700760.0,2383505.0,2059760,24431839.0,30516104.0,54619.0,USD,111.39,Belgium,True,,Food & Agriculture,54619.0,111.39
Anheuser-Busch InBev,2019,3600710.0,2215902.0,1761444,26484447.0,32301059.0,52329.0,USD,111.15,Belgium,True,-4.19,Food & Agriculture,52329.0,111.15
Anheuser-Busch InBev,2020,3081905.0,2227758.0,1633815,23652933.0,28962596.0,46881.0,USD,113.26,Belgium,True,-10.41,Food & Agriculture,46881.0,113.26
Anheuser-Busch InBev,2021,2953896.0,2243990.0,1456823,26527444.0,31725330.0,54304.0,USD,95.72,Belgium,True,15.83,Food & Agriculture,54304.0,95.72
Anheuser-Busch InBev,2022,2843883.0,2029211.0,826257,24136111.0,29009205.0,57786.0,USD,84.33,Belgium,True,6.41,Food & Agriculture,57786.0,84.33
Danone,2018,753461.0,959554.0,678759,24885804.0,27277578.0,24651.0,EUR,69.49,France,True,,Food & Agriculture,27362.610000000004,62.6
Danone,2019,722103.0,944877.0,588156,46176955.0,48432091.0,25287.0,EUR,65.92,France,True,2.58,Food & Agriculture,28068.570000000003,59.39
Danone,2020,668354.0,864710.0,479210,26077215.0,28089489.0,25287.0,EUR,60.63,France,True,0.0,Food & Agriculture,28068.570000000003,54.62
Danone,2021,682674.0,812948.0,294896,23733344.0,25523862.0,24281.0,EUR,61.6,France,True,-3.98,Food & Agriculture,26951.910000000003,55.49
Danone,2022,666000.0,762805.0,276355,22367000.0,24072160.0,27661.0,EUR,51.65,France,True,13.92,Food & Agriculture,30703.710000000003,46.54
Diageo,2018,553270.0,179307.0,73771,2665182.0,3471530.0,12163.0,GBP,60.23,England,True,,Food & Agriculture,16055.16,45.63
Diageo,2019,511593.0,165095.0,74172,2764857.0,3515717.0,12867.0,GBP,52.59,England,True,5.79,Food & Agriculture,16984.440000000002,39.84
Diageo,2020,476782.0,143905.0,29682,2608674.0,3259043.0,11752.0,GBP,52.82,England,True,-8.67,Food & Agriculture,15512.640000000001,40.01
Diageo,2021,445000.0,142530.0,36136,4754945.0,5378611.0,12733.0,GBP,46.14,England,True,8.35,Food & Agriculture,16807.56,34.96
Diageo,2022,436000.0,157784.0,11334,5723256.0,6328374.0,15452.0,GBP,38.43,England,True,21.35,Food & Agriculture,20396.64,29.11
Kellogg’s,2018,483061.0,650835.0,539719,12761542.0,14435157.0,13547.0,USD,83.7,United States,True,,Food & Agriculture,13547.0,83.7
Kellogg’s,2019,465885.0,590739.0,473880,8128427.0,9658931.0,13578.0,USD,77.82,United States,True,0.23,Food & Agriculture,13578.0,77.82
Kellogg’s,2020,465042.0,587999.0,443725,6449011.0,7945777.0,13770.0,USD,76.47,United States,True,1.41,Food & Agriculture,13770.0,76.47
Kellogg’s,2021,503905.0,568692.0,411496,5723300.0,7207393.0,14181.0,USD,75.64,United States,True,2.98,Food & Agriculture,14181.0,75.64
Kellogg’s,2022,497203.0,553526.0,368564,6784604.0,8203897.0,15315.0,USD,68.61,United States,True,8.0,Food & Agriculture,15315.0,68.61
Molson Coors,2018,436457.0,667174.0,667174,4933363.0,6704168.0,13338.0,USD,82.74,"Canada, United States",True,,Food & Agriculture,13338.0,82.74
Molson Coors,2019,406377.0,634136.0,634136,4572089.0,6246738.0,13009.0,USD,79.98,"Canada, United States",True,-2.47,Food & Agriculture,13009.0,79.98
Molson Coors,2020,398026.0,604422.0,604422,4257376.0,5864246.0,11724.0,USD,85.51,"Canada, United States",True,-9.88,Food & Agriculture,11724.0,85.5
Molson Coors,2021,606319.0,342069.0,342069,3961062.0,5251519.0,12450.0,USD,76.18,"Canada, United States",True,6.19,Food & Agriculture,12450.0,76.18
Molson Coors,2022,603321.0,341701.0,341701,3731920.0,5018643.0,12808.0,USD,73.78,"Canada, United States",True,2.88,Food & Agriculture,12808.0,73.78
Nestlé,2018,3289012.0,3082573.0,2434401,107145316.0,115951302.0,91439.0,CHF,69.68,Switzerland,True,,Food & Agriculture,108812.40999999999,58.56
Nestlé,2019,3246367.0,3089029.0,2215450,107145316.0,115696162.0,92568.0,CHF,68.44,Switzerland,True,1.23,Food & Agriculture,110155.92,57.51
Nestlé,2020,3215404.0,3052234.0,1898395,117000828.0,125166861.0,84300.0,CHF,74.35,Switzerland,True,-8.93,Food & Agriculture,100317.0,62.48
Nestlé,2021,3372000.0,2600000.0,1610000,113720072.0,121302072.0,87088.0,CHF,68.57,Switzerland,True,3.31,Food & Agriculture,103634.72,57.63
Nestlé,2022,3240000.0,760000.0,757454,108900000.0,113657454.0,94000.0,CHF,42.55,Switzerland,True,7.94,Food & Agriculture,111860.0,35.76
PepsiCo,2018,3577266.0,1629973.0,1558167,58668530.0,65433936.0,64661.0,USD,80.53,United States,True,,Food & Agriculture,64661.0,80.53
PepsiCo,2019,3552415.0,1556523.0,1425255,48366225.0,54900418.0,67161.0,USD,76.07,United States,True,3.87,Food & Agriculture,67161.0,76.07
PepsiCo,2020,3552706.0,1719610.0,857398,52604866.0,58734580.0,70372.0,USD,74.92,United States,True,4.78,Food & Agriculture,70372.0,74.92
PepsiCo,2021,3596712.0,1811114.0,683136,56388182.0,62479144.0,79474.0,USD,68.05,United States,True,12.93,Food & Agriculture,79474.0,68.05
PepsiCo,2022,3481530.0,1834309.0,750058,54947765.0,61013662.0,86392.0,USD,61.53,United States,True,8.7,Food & Agriculture,86392.0,61.53
Tesco,2018,1117480.0,995543.0,256446,59795068.0,61908091.0,63911.0,GBP,33.06,England,True,,Food & Agriculture,84362.52,25.05
Tesco,2019,1105183.0,859583.0,81531,59817490.0,61782256.0,56500.0,GBP,34.77,England,True,-11.6,Food & Agriculture,74580.0,26.34
Tesco,2020,1053131.0,718222.0,13631,56241579.0,58012932.0,57887.0,GBP,30.6,England,True,2.45,Food & Agriculture,76410.84,23.18
Tesco,2021,1110098.0,642337.0,16107,60258134.0,62010569.0,61344.0,GBP,28.57,England,True,5.97,Food & Agriculture,80974.08,21.64
Tesco,2022,1039346.0,575462.0,7796,75854334.0,77469142.0,65762.0,GBP,24.56,England,True,7.2,Food & Agriculture,86805.84000000001,18.6
Unilever,2018,752804.0,1430659.0,826076,60419810.0,62603273.0,50982.0,EUR,42.83,"Netherlands, United Kingdom",True,,Food & Agriculture,56590.020000000004,38.58
Unilever,2019,659028.0,1321648.0,443897,56779687.0,58760363.0,51980.0,EUR,38.1,"Netherlands, United Kingdom",True,1.96,Food & Agriculture,57697.8,34.33
Unilever,2020,606771.0,1264328.0,171906,58300345.0,60171445.0,50724.0,EUR,36.89,"Netherlands, United Kingdom",True,-2.42,Food & Agriculture,56303.64000000001,33.23
Unilever,2021,565988.0,1244505.0,144752,61445738.0,63256230.0,52444.0,EUR,34.52,"Netherlands, United Kingdom",True,3.39,Food & Agriculture,58212.840000000004,31.1
Unilever,2022,503909.0,1224997.0,117773,56442279.0,58171185.0,60073.0,EUR,28.78,"Netherlands, United Kingdom",True,14.55,Food & Agriculture,66681.03,25.93
BP,2018,48800000.0,5400000.0,5400000,437000000.0,496600000.0,303738.0,USD,178.44,United Kingdom,False,,Energy,303738.0,178.44
BP,2019,49200000.0,5200000.0,5200000,,59600000.0,282616.0,USD,192.49,United Kingdom,False,-6.95,Energy,282616.0,192.49
BP,2020,41700000.0,3700000.0,3800000,327600000.0,376800000.0,109078.0,USD,416.22,United Kingdom,True,-61.4,Energy,109078.0,416.22
BP,2021,33200000.0,2400000.0,2400000,303600000.0,341600000.0,164195.0,USD,216.82,United Kingdom,True,50.53,Energy,164195.0,216.82
BP,2022,30400000.0,2100000.0,1500000,306700000.0,340700000.0,248891.0,USD,130.58,United Kingdom,True,51.58,Energy,248891.0,130.58
Chevron,2018,66000000.0,3000000.0,3000000,1023000000.0,1095000000.0,158902.0,USD,434.23,United States,False,,Energy,158902.0,434.23
Chevron,2019,62000000.0,2000000.0,2000000,1033000000.0,1099000000.0,139865.0,USD,457.58,United States,False,-11.98,Energy,139865.0,457.58
Chevron,2020,54000000.0,4000000.0,4000000,980000000.0,1042000000.0,94471.0,USD,613.95,United States,False,-32.46,Energy,94471.0,613.95
Chevron,2021,57000000.0,4000000.0,4000000,1071000000.0,1136000000.0,155606.0,USD,392.02,United States,False,64.71,Energy,155606.0,392.02
Chevron,2022,53000000.0,4000000.0,4000000,1034000000.0,1095000000.0,235717.0,USD,241.82,United States,False,51.48,Energy,235717.0,241.82
EDF,2018,35699738.0,470025.0,582936,110759561.0,147512260.0,75794.0,EUR,477.21,France,True,,Energy,84131.34000000001,429.92
EDF,2019,33090244.0,289243.0,387540,119363628.0,153130655.0,78367.0,EUR,425.94,France,True,3.39,Energy,86987.37000000001,383.73
EDF,2020,27690997.0,320773.0,342889,106649250.0,135003909.0,75855.0,EUR,369.28,France,True,-3.21,Energy,84199.05,332.69
EDF,2021,27381075.0,288947.0,332773,101804919.0,129807714.0,92810.0,EUR,298.14,France,True,22.35,Energy,103019.1,268.59
EDF,2022,23817090.0,388819.0,409050,95917659.0,120532618.0,143476.0,EUR,168.71,France,True,54.59,Energy,159258.36000000002,151.99
Enel,2018,6816597.0,115000.0,765570,5261003.0,12958170.0,13184.0,USD,525.76,Italy,False,,Energy,13184.0,525.76
Enel,2019,6963813.0,770163.0,770163,5819007.0,14323146.0,14314.0,USD,540.31,Italy,False,8.57,Energy,14314.0,540.31
Enel,2020,6895903.0,548948.0, n/a,5315425.0,12760276.0,12193.0,USD,610.58,Italy,True,-14.82,Energy,12193.0,610.58
Enel,2021,7276000.0,721000.0,,6000610.0,13997610.0,16192.0,USD,493.89,Italy,True,32.8,Energy,16192.0,493.89
Enel,2022,6560000.0,1010000.0,,9504170.0,17074170.0,16265.0,USD,465.42,Italy,True,0.45,Energy,16265.0,465.42
Equinor,2018,14946447.0,194063.0,3002318,314102157.0,332244985.0,79593.0,USD,190.22,Norway,True,,Energy,79593.0,190.22
Equinor,2019,14719266.0,215474.0,2911766,258995398.0,276841904.0,64357.0,USD,232.06,Norway,True,-19.14,Energy,64357.0,232.06
Equinor,2020,13294578.0,251513.0,2463566,271036800.0,287046457.0,45818.0,USD,295.65,Norway,True,-28.81,Energy,45818.0,295.65
Equinor,2021,12009607.0,97048.0,2690162,268747731.0,283544548.0,90924.0,USD,133.15,Norway,True,98.45,Energy,90924.0,133.15
Equinor,2022,11365833.0,68581.0,2479939,268367000.0,282281353.0,150806.0,USD,75.82,Norway,True,65.86,Energy,150806.0,75.82
