COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 2 (market-based),SCOPE 3,TOTAL EMISSIONS,TOTAL REVENUE (miillion $),CURRENCY,"CARBON INTENSITY
(Scope 1 & 2 g CO2e / $ Sales)",COUNTRY OF ORIGIN,SUBMIT TO CDP,GROWTH RATE,COMPANY SIZE
Alphabet,2018,63521,4344686,684236,12900467,17992910,136819,USD,32.22,United States,Yes,n/a,
Alphabet,2019,66686,5116949,794267,11669000,17646902,161857,USD,32.03,United States,Yes,18.30,
Alphabet,2020,38694,5865095,911415,9376000,16191204,182527,USD,32.34,United States,Yes,12.77,
Alphabet,2021,45073,6576239,1823132,9503000,17947444,257637,USD,25.70,United States,Yes,41.15,
Alphabet,2022,91200,8045400,2492200,7600000,18228800,282836,USD,28.77,United States,Yes,9.78,
Amazon,2018,4980000,4710000,4710000,34710000,44400000,232887,USD,41.61,United States,No,n/a,
Amazon,2019,5760000,5500000,5500000,39910000,51170000,280522,USD,40.14,United States,No,20.45,
Amazon,2020,9620000,5270000,5270000,45750000,60640000,386064,USD,38.57,United States,No,37.62,
Amazon,2021,12110000,4070000,4070000,55360000,71540000,469822,USD,34.44,United States,No,21.70,
Amazon,2022,13400000,2890000,2892186,54977815,71270000,513983,USD,31.69,United States,No,9.40,
Apple,2018,57440,8730,8730,25070000,25136170,265595,USD,0.25,United States,Yes,n/a,
Apple,2019,52730,862127,0,24980000,25894857,260174,USD,3.52,United States,Yes,-2.04,
Apple,2020,47430,890200,0,22547000,23484630,274515,USD,3.42,United States,Yes,5.51,
Apple,2021,55200,890200,2780,23128400,24073800,365817,USD,2.58,United States,Yes,33.26,
Apple,2022,55202,1065405,3018,20550000,21673625,394328,USD,2.84,United States,Yes,7.79,
Meta,2018,42000,1241000,314000,652000,2249000,55838,USD,22.977,United States,No,n/a,
Meta,2019,44000,1885000,208000,4078000,6215000,70697,USD,27.285,United States,No,26.61,
Meta,2020,29000,2718000,9000,5091000,7847000,85965,USD,31.955,United States,No,21.60,
Meta,2021,55173,3080194,2487,5651459,8789313,117929,USD,26.587,United States,Yes,37.18,
Meta,2022,66934,3921611,273,8466248,12455066,116609,USD,34.204,United States,Yes,-1.12,
Microsoft,2018,90723,3000523,183329,17834520,21109095,110360,USD,28.011,United States,Yes,n/a,
Microsoft,2019,113412,3556553,275375,11322527,15267867,125843,USD,29.163,United States,Yes,14.03,
Microsoft,2020,118100,4102445,228194,10817756,15266495,143015,USD,29.511,United States,Yes,13.65,
Microsoft,2021,123704,4745197,163935,13784501,18817337,168088,USD,28.966,United States,Yes,17.53,
Microsoft,2022,139413,6381250,288029,18863000,25671692,198270,USD,32.888,United States,Yes,17.96,
Samsung,2018,4855000,10318000,n/a,38234000,53407000,201800000,KRW,0.075,South Korea,Yes,n/a,
Samsung,2019,5067000,10998000,8733000,70063000,94861000,439200000,KRW,0.037,South Korea,Yes,117.64,
Samsung,2020,5726300,11852400,9078900,65591000,92248600,455800000,KRW,0.039,South Korea,Yes,3.78,
Samsung,2021,7604000,12566000,9796000,123234900,153200900,259300000,KRW,0.078,South Korea,Yes,-43.11,
Samsung,2022,5972000,13920000,9081000,124715000,153688000,280945000,KRW,0.071,South Korea,Yes,8.35,
TSMC,2018,2125725,7001655,6349642,4315604,19792626,1031000,TWD,8.853,Taiwan,Yes,n/a,
TSMC,2019,2071743,7350195,6697872,5307729,21427539,1069950,TWD,8.806,Taiwan,Yes,3.78,
TSMC,2020,2010692,8282509,7459856,5571946,23325003,1339000,TWD,7.687,Taiwan,Yes,25.15,
TSMC,2021,2151937,9196964,8152497,6127157,25628555,1587420,TWD,7.149,Taiwan,Yes,18.55,
TSMC,2022,2018789,10893689,9539765,7429158,29881401,2264000,TWD,5.703,Taiwan,Yes,42.62,
